id,datum,open_meteo_radiation,kmi_radiation_avg,kaggle_radiation_avg
653,2021-10-14 00:00:00,88.875,,88.785
654,2021-10-15 00:00:00,65.9583333333,,53.445
655,2021-10-16 00:00:00,99.6666666667,,102.65
656,2021-10-17 00:00:00,69.0416666667,,94.505
657,2021-10-18 00:00:00,83.125,,99.45
658,2021-10-19 00:00:00,55.1666666667,,34.78
659,2021-10-20 00:00:00,54.625,,21.78
660,2021-10-21 00:00:00,52.75,,49.69
661,2021-10-22 00:00:00,60.2916666667,,86.59
662,2021-10-23 00:00:00,97.2916666667,,67.855
663,2021-10-24 00:00:00,110.75,,121.655
664,2021-10-25 00:00:00,65.9583333333,,44.75
665,2021-10-26 00:00:00,59.375,,65.39
666,2021-10-27 00:00:00,75.0833333333,,74.545
667,2021-10-28 00:00:00,99.9166666667,,108.4
668,2021-10-29 00:00:00,80.2916666667,,88.185
669,2021-10-30 00:00:00,27.75,,26.295
670,2021-10-31 00:00:00,44,,72.405
671,2021-11-01 00:00:00,74.875,,85.585
672,2021-11-02 00:00:00,30.2916666667,,37.475
673,2021-11-03 00:00:00,68.8333333333,,15.1
674,2021-11-04 00:00:00,64.375,,21.23
675,2021-11-05 00:00:00,64.2916666667,,49.195
676,2021-11-06 00:00:00,41.1666666667,,63.245
677,2021-11-07 00:00:00,46.5833333333,,40.23
678,2021-11-08 00:00:00,56.6666666667,,70.305
679,2021-11-09 00:00:00,30.5,,80.75
680,2021-11-10 00:00:00,70.9583333333,,70.07
681,2021-11-11 00:00:00,39.5,,74.27
682,2021-11-12 00:00:00,58.7083333333,,74.52
683,2021-11-13 00:00:00,30,,20.25
684,2021-11-14 00:00:00,35.8333333333,,28.72
685,2021-11-15 00:00:00,22.1666666667,,7.16
686,2021-11-16 00:00:00,19.9166666667,,8.305
687,2021-11-17 00:00:00,34.375,,14.36
688,2021-11-18 00:00:00,59.25,,52.845
689,2021-11-19 00:00:00,24.25,,13.89
690,2021-11-20 00:00:00,21.0416666667,,17.045
691,2021-11-21 00:00:00,29.4583333333,,16.665
692,2021-11-22 00:00:00,62.25,,56.57
693,2021-11-23 00:00:00,17.5416666667,,37.85
694,2021-11-24 00:00:00,19.4166666667,,45.985
695,2021-11-25 00:00:00,14.0416666667,,23.03
696,2021-11-26 00:00:00,18.7083333333,,21.33
697,2021-11-27 00:00:00,43.9166666667,,47.395
698,2021-11-28 00:00:00,27.2916666667,,13.935
699,2021-11-29 00:00:00,50.3333333333,,23.46
700,2021-11-30 00:00:00,10.4166666667,,5.615
701,2021-12-01 00:00:00,29.9583333333,,14.29
702,2021-12-02 00:00:00,42.2916666667,,16.75
703,2021-12-03 00:00:00,11.625,,17.345
704,2021-12-04 00:00:00,10.25,,13.045
705,2021-12-05 00:00:00,21.25,,12.995
706,2021-12-06 00:00:00,27.75,,35.465
707,2021-12-07 00:00:00,42.875,,38.345
708,2021-12-08 00:00:00,43.5,,23.93
709,2021-12-09 00:00:00,29.5,,12.3
710,2021-12-10 00:00:00,6.3333333333,,11.48
711,2021-12-11 00:00:00,37.7916666667,,21.775
712,2021-12-12 00:00:00,8.7916666667,,9.705
713,2021-12-13 00:00:00,29.4166666667,,11.38
714,2021-12-14 00:00:00,20.9583333333,,13.12
715,2021-12-15 00:00:00,22.625,,12.705
716,2021-12-16 00:00:00,32.5833333333,,33.755
717,2021-12-17 00:00:00,12.5833333333,,12.03
718,2021-12-18 00:00:00,11.25,,13.21
719,2021-12-19 00:00:00,12.8333333333,,9.265
720,2021-12-20 00:00:00,20.875,,14.29
721,2021-12-21 00:00:00,45.7083333333,,52.755
722,2021-12-22 00:00:00,44.4166666667,,45.045
723,2021-12-23 00:00:00,26.7083333333,,19.655
724,2021-12-24 00:00:00,8.0833333333,,14.805
725,2021-12-25 00:00:00,9.6666666667,,8.625
726,2021-12-26 00:00:00,14.0833333333,,15.5
727,2021-12-27 00:00:00,16.0416666667,,15.245
728,2021-12-28 00:00:00,13.5,,15.85
729,2021-12-29 00:00:00,10.0416666667,,10.045
730,2021-12-30 00:00:00,14.5833333333,,14.26
731,2021-12-31 00:00:00,22.125,,34.065
732,2022-01-01 00:00:00,38.7916666667,,44.08
733,2022-01-02 00:00:00,36.3333333333,,15.965
734,2022-01-03 00:00:00,18.8333333333,,10.175
735,2022-01-04 00:00:00,14.25,,9.51
736,2022-01-05 00:00:00,34.6666666667,,17.575
737,2022-01-06 00:00:00,43.6666666667,,30.6
738,2022-01-07 00:00:00,39.9583333333,,11.165
739,2022-01-08 00:00:00,8.25,,17.535
740,2022-01-09 00:00:00,42.2083333333,,28.94
741,2022-01-10 00:00:00,34.9166666667,,21.065
742,2022-01-11 00:00:00,53.25,,56.5
743,2022-01-12 00:00:00,39.375,,17.485
744,2022-01-13 00:00:00,36.7083333333,,52.215
745,2022-01-14 00:00:00,44.5416666667,,58.245
746,2022-01-15 00:00:00,46.3333333333,,48.665
747,2022-01-16 00:00:00,22.4166666667,,8.815
748,2022-01-17 00:00:00,40.4166666667,,18.215
749,2022-01-18 00:00:00,26.4583333333,,37.65
750,2022-01-19 00:00:00,17.375,,8.02
751,2022-01-20 00:00:00,43.2916666667,,33.93
752,2022-01-21 00:00:00,21.125,,34.15
753,2022-01-22 00:00:00,29.8333333333,,11.335
754,2022-01-23 00:00:00,29.1666666667,,10.98
755,2022-01-24 00:00:00,56.7916666667,,70.86
756,2022-01-25 00:00:00,31.3333333333,,43.435
757,2022-01-26 00:00:00,24.8333333333,,8.41
758,2022-01-27 00:00:00,15.375,,9.06
759,2022-01-28 00:00:00,50.25,,28.215
760,2022-01-29 00:00:00,29.5833333333,,16.945
761,2022-01-30 00:00:00,45.2916666667,,52.745
762,2022-01-31 00:00:00,35.25,,14.445
763,2022-02-01 00:00:00,13.375,,11.125
764,2022-02-02 00:00:00,13.125,,23.11
765,2022-02-03 00:00:00,17.2083333333,,9.365
766,2022-02-04 00:00:00,29.8333333333,,20.865
767,2022-02-05 00:00:00,72.875,,73
768,2022-02-06 00:00:00,12,,8.85
769,2022-02-07 00:00:00,88.8333333333,,88.995
770,2022-02-08 00:00:00,53.7916666667,,31.9
771,2022-02-09 00:00:00,47.9583333333,,83.21
772,2022-02-10 00:00:00,20.75,,16.69
773,2022-02-11 00:00:00,84.75,,76.435
774,2022-02-12 00:00:00,102.9583333333,,106.86
